Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Sécurités;SB;176.0;Police nationale;03;Sécurité routière;01;Sécurité routière  - Administration centrale et cabinet;21.0;2;11646393.0;11646393.0;0.0;0.0;Intérieur
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;01;État-major et services centraux;;;21.0;2;410559998.0;410559998.0;1440814.0;1440814.0;Intérieur
BG;Aide publique au développement;AD;384.0;Fonds de solidarité pour le développement;01;Fonds de solidarité pour le développement;;;62.0;6;738000000.0;738000000.0;0.0;0.0;Europe et affaires étrangères
BG;Anciens combattants, mémoire et liens avec la Nation;MB;169.0;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;03;Reconnaissance envers le monde combattant;35;Office national des combattants (ONaC) : subventions;53.0;5;650000.0;650000.0;0.0;0.0;Armées et anciens combattants
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;01;Surveillance et sûreté maritimes;;;64.0;6;8336170.0;8336170.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;02;Aménagement  du territoire;;;31.0;3;970000.0;970000.0;331500.0;331500.0;Outre-Mer
BG;Sécurités;SB;152.0;Gendarmerie nationale;01;Ordre et sécurité publics;01;Ordre et sécurité publics - hors administration centrale et cabinet;22.0;2;2073073727.0;2073073727.0;0.0;0.0;Intérieur
BG;Sécurités;SB;176.0;Police nationale;02;Sécurité et paix publiques;02;Sécurité et paix publiques - Hors administration centrale et cabinet;23.0;2;21665739.0;21665739.0;0.0;0.0;Intérieur
BG;Économie;DB;305.0;Stratégies économiques;02;Développement international de l'économie française;;;22.0;2;10394401.0;10394401.0;0.0;0.0;Économie, finances et industrie
BG;Administration générale et territoriale de l'État;AB;232.0;Vie politique;03;Commission nationale des comptes de campagne et des financements politiques;;;22.0;2;1475130.0;1475130.0;0.0;0.0;Intérieur
BG;Défense;DA;144.0;Environnement et prospective de la politique de défense;07;Prospective de défense;03;Etudes amont;64.0;6;33500000.0;11000000.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;10;Formation des personnels enseignants;;;22.0;2;34610122.0;34610122.0;0.0;0.0;Éducation nationale
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;10;Soutien;;;21.0;2;32706125.0;32706125.0;0.0;0.0;Services du Premier ministre
BA;Publications officielles et information administrative;XJ;624.0;Pilotage et ressources humaines;01;Pilotage, modernisation et activités numériques;;;31.0;3;8135237.0;7424537.0;0.0;0.0;Services du Premier ministre
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;09;Mobilisation des outils du renseignement au service des missions douanières;;;23.0;2;42787.0;42787.0;0.0;0.0;Budget et comptes publics
BG;Outre-mer;OA;138.0;Emploi outre-mer;04;Financement de l'économie;;;62.0;6;7464447.0;5474775.0;0.0;0.0;Outre-Mer
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;07;Urbanisme et aménagement;;;62.0;6;49191250.0;49187250.0;0.0;0.0;Logement et rénovation urbaine
BG;Culture;CB;131.0;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;32.0;3;278127942.0;278127942.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;50;Communiquer - Transmission;64.0;6;9040000.0;466553.0;0.0;0.0;Armées et anciens combattants
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;02;Coordination de la sécurité et de la défense;;;23.0;2;1836360.0;1836360.0;0.0;0.0;Services du Premier ministre
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;03;Continuité territoriale;;;64.0;6;2040000.0;2040000.0;0.0;0.0;Outre-Mer
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;06;Soutien;;;51.0;5;16043829.0;18288335.0;0.0;0.0;Europe et affaires étrangères
BG;Aide publique au développement;AD;110.0;Aide économique et financière au développement;02;Aide économique et financière bilatérale;;;63.0;6;0.0;2000000.0;0.0;0.0;Économie, finances et industrie
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;06;Soutien;;;23.0;2;387055.0;387055.0;0.0;0.0;Services du Premier ministre
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;03;Autorité de régulation de la communication audiovisuelle et numérique;;;64.0;6;51235879.0;51235879.0;0.0;0.0;Services du Premier ministre
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;03;Numérique;;;52.0;5;46091816.0;45791140.0;0.0;0.0;Intérieur
BG;Sécurités;SB;176.0;Police nationale;02;Sécurité et paix publiques;02;Sécurité et paix publiques - Hors administration centrale et cabinet;22.0;2;1566904245.0;1566904245.0;0.0;0.0;Intérieur
BG;Économie;DB;220.0;Statistiques et études économiques;08;Information économique, démographique et sociale;;;23.0;2;1020991.0;1020991.0;2811.0;2811.0;Économie, finances et industrie
BG;Sécurités;SB;176.0;Police nationale;03;Sécurité routière;02;Sécurité routière - Hors administration centrale et cabinets;23.0;2;2329336.0;2329336.0;0.0;0.0;Intérieur
BG;Sécurités;SB;176.0;Police nationale;04;Police des étrangers et sûreté des transports internationaux;03;Autres actions relatives à la police des étrangers et à la sureté des transports internationaux - Administration centrale et cabinets;21.0;2;32649538.0;32649538.0;0.0;0.0;Intérieur
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;08;Commission du contentieux du stationnement payant;;;21.0;2;5889896.0;5889896.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;235.0;Sûreté nucléaire et radioprotection;02;Sûreté nucléaire et radio-protection;;;52.0;5;815000.0;815000.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Défense;DA;212.0;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";02;Renseignement de sécurité et de défense;22.0;2;63962472.0;63962472.0;0.0;0.0;Armées et anciens combattants
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;;21.0;2;5083696.0;5083696.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Enseignement scolaire;EC;214.0;Soutien de la politique de l'éducation nationale;02;Évaluation et contrôle;;;21.0;2;56371993.0;56371993.0;110000.0;110000.0;Éducation nationale
BG;Recherche et enseignement supérieur;RA;190.0;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;14;Recherche et développement dans le domaine de l'aéronautique civile;01;Recherches en amont;62.0;6;48481481.0;35426227.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;09;Formation continue des adultes et validation des acquis de l'expérience;;;21.0;2;83453984.0;83453984.0;0.0;0.0;Éducation nationale
CAS;Pensions;YD;742.0;Ouvriers des établissements industriels de l'État;01;Prestations vieillesse et invalidité;;;23.0;2;2022106253.0;2022106253.0;0.0;0.0;Budget et comptes publics
BG;Défense;DA;212.0;Soutien de la politique de la défense;06;Politiques des ressources humaines;04;Action sociale et inclusion;31.0;3;150026435.0;147439971.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";05;Service du commissariat des armées;23.0;2;9825756.0;9825756.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;06;Besoins éducatifs particuliers;;;64.0;6;2797227.0;2797227.0;0.0;0.0;Éducation nationale
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;10;"Personnel concourant à l'action ""Instruction des demandes de visa""";;;22.0;2;9487483.0;9487483.0;0.0;0.0;Europe et affaires étrangères
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;46;Espace - Commander et conduire - OMEGA;51.0;5;0.0;83818371.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;31.0;3;17500000.0;23225541.0;0.0;0.0;Armées et anciens combattants
BG;Immigration, asile et intégration;IA;104.0;Intégration et accès à la nationalité française;11;Accueil des étrangers primo arrivants;;;53.0;5;9450000.0;9450000.0;0.0;0.0;Intérieur
BG;Sport, jeunesse et vie associative;SF;219.0;Sport;04;Promotion des métiers du sport;;;31.0;3;2581662.0;2581662.0;0.0;0.0;Sports, jeunesse et vie associative
BG;Défense;DA;178.0;Préparation et emploi des forces;06;Surcoûts liés aux opérations extérieures;;;31.0;3;540000000.0;540000000.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;66;Rayonnement et contribution extérieure;05;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;21.0;2;1446307.0;1446307.0;0.0;0.0;Armées et anciens combattants
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;07;Pilotage, support, audit et évaluations;;;22.0;2;347250147.0;347250147.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;06;Gestion des pensions;;;31.0;3;13750000.0;13500000.0;620000.0;620000.0;Budget et comptes publics
BG;Sécurités;SB;152.0;Gendarmerie nationale;04;Commandement, ressources humaines et logistique;01;Commandement, ressources humaines et logistique;23.0;2;3255794.0;3255794.0;409958.0;409958.0;Intérieur
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;06;Soutien des services opérationnels;;;51.0;5;40712877.0;39557742.0;0.0;0.0;Budget et comptes publics
BG;Défense;DA;146.0;Équipement des forces;09;Engagement et combat;86;Opérer en milieu hostile - ATL2;64.0;6;1350000.0;1168614.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;53;"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces """;01;Soutien aux opérations d'armement;22.0;2;1779723580.0;1779723580.0;0.0;0.0;Armées et anciens combattants
BG;Économie;DB;220.0;Statistiques et études économiques;08;Information économique, démographique et sociale;;;31.0;3;4341359.0;4543607.0;400000.0;400000.0;Économie, finances et industrie
BG;Écologie, développement et mobilité durables;TA;181.0;Prévention des risques;13;Institut national de l'environnement industriel et des risques (INERIS);;;32.0;3;32566117.0;32566117.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;07;Pilotage, support, audit et évaluations;;;53.0;5;0.0;3200000.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Défense;DA;212.0;Soutien de la politique de la défense;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;02;Contrôle général des armées;21.0;2;13177361.0;13177361.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;140.0;Enseignement scolaire public du premier degré;07;Personnels en situations diverses;;;21.0;2;64859256.0;64859256.0;0.0;0.0;Éducation nationale
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;06;Soutien;;;21.0;2;103374496.0;103374496.0;0.0;0.0;Europe et affaires étrangères
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;;22.0;2;122349580.0;122349580.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;01;Construction locative et amélioration du parc;;;31.0;3;1780000.0;1780000.0;493458271.0;403060891.0;Logement et rénovation urbaine
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;10;Fonds interministériel pour la transformation de la Guyane;;;62.0;6;4332401.0;4420860.0;1585000.0;1725000.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;174.0;Énergie, climat et après-mines;06;Soutien;;;31.0;3;6200001.0;6200002.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;03;Numérique;;;31.0;3;228880208.0;157558288.0;13882840.0;13882840.0;Intérieur
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;28;Personnels œuvrant dans le domaine de la stratégie et de la connaissance des politiques de transition écologique;;;23.0;2;712025.0;712025.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;05;Enseignement post-baccalauréat en lycée;;;22.0;2;1060581529.0;1060581529.0;0.0;0.0;Éducation nationale
BG;Enseignement scolaire;EC;214.0;Soutien de la politique de l'éducation nationale;06;Politique des ressources humaines;;;23.0;2;19280679.0;19280679.0;0.0;0.0;Éducation nationale
BG;Travail, emploi et administration des ministères sociaux;TB;102.0;Accès et retour à l'emploi;03;Accompagnement des personnes les plus éloignées du marché du travail- Fonds d'inclusion dans l'emploi;02;Insertion par l'activité économique;64.0;6;1428823565.0;1138225981.0;0.0;0.0;Travail et emploi
BG;Défense;DA;178.0;Préparation et emploi des forces;01;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;31.0;3;61855274.0;55575254.0;0.0;0.0;Armées et anciens combattants
BG;Justice;JA;182.0;Protection judiciaire de la jeunesse;04;Formation;;;22.0;2;12935509.0;12935509.0;0.0;0.0;Justice
BG;Enseignement scolaire;EC;140.0;Enseignement scolaire public du premier degré;06;Pilotage et encadrement pédagogique;;;21.0;2;889685131.0;889685131.0;0.0;0.0;Éducation nationale
BG;Crédits non répartis;PC;551.0;Provision relative aux rémunérations publiques;01;Provision relative aux rémunérations publiques;;;21.0;2;70000000.0;70000000.0;0.0;0.0;Budget et comptes publics
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;04;Gestion de l'administration centrale;;;31.0;3;65464734.0;84984477.0;20000.0;20000.0;Justice
BG;Travail, emploi et administration des ministères sociaux;TB;102.0;Accès et retour à l'emploi;04;Insertion des jeunes sur le marché du travail- Contrat d'engagement jeunes (CEJ);02;Structures d'accompagnement des jeunes vers l'emploi;64.0;6;35420000.0;35420000.0;0.0;0.0;Travail et emploi
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;17;Coordination de la politique des ressources humaines en matière d’encadrement supérieur et dirigeant de l’Etat;;;21.0;2;2367476.0;2367476.0;0.0;0.0;Services du Premier ministre
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;08;Information et orientation;;;22.0;2;160715286.0;160715286.0;0.0;0.0;Éducation nationale
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;01;État major;;;31.0;3;650000.0;650000.0;0.0;0.0;Justice
CAS;Pensions;YD;741.0;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;02;Militaires relevant du code des pensions civiles et militaires de retraite;;;31.0;3;100000.0;100000.0;0.0;0.0;Budget et comptes publics
BG;Cohésion des territoires;VA;112.0;Impulsion et coordination de la politique d'aménagement du territoire;14;Prime d'aménagement du territoire, contrats de ruralité et pacte Etat-métropoles;;;62.0;6;0.0;3104720.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Défense;DA;146.0;Équipement des forces;09;Engagement et combat;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);51.0;5;0.0;111491.0;0.0;0.0;Armées et anciens combattants
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;13;Ordre de la Légion d'honneur;;;32.0;3;28506693.0;28506693.0;0.0;0.0;Services du Premier ministre
BG;Culture;CB;361.0;Transmission des savoirs et démocratisation de la culture;04;Recherche culturelle et culture scientifique et technique;;;31.0;3;2558495.0;1996517.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;60;Renseigner, surveiller, acquérir et reconnaître - ALSR;64.0;6;0.0;395793.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;178.0;Préparation et emploi des forces;01;Planification  des moyens et conduite des opérations;10;Emploi des forces;51.0;5;17591115.0;17369028.0;0.0;0.0;Armées et anciens combattants
BG;Écologie, développement et mobilité durables;TA;345.0;Service public de l'énergie;12;Soutien à la cogénération au gaz naturel et autres moyens thermiques;01;Soutien à la cogénération au gaz naturel et autres moyens thermiques;62.0;6;588097356.0;588097356.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Solidarité, insertion et égalité des chances;SE;304.0;Inclusion sociale et protection des personnes;16;Protection juridique des majeurs;;;64.0;6;773476084.0;773476084.0;0.0;0.0;Solidarités, autonomie et égalité entre les femmes et les hommes
BG;Sport, jeunesse et vie associative;SF;219.0;Sport;02;Développement du sport de haut niveau;;;62.0;6;271914.0;271914.0;0.0;0.0;Sports, jeunesse et vie associative
BG;Culture;CB;175.0;Patrimoines;01;Monuments Historiques et patrimoine monumental;;;72.0;7;2754929.0;2754929.0;0.0;0.0;Culture
BG;Immigration, asile et intégration;IA;303.0;Immigration et asile;03;Lutte contre l'immigration irrégulière;;;51.0;5;21600000.0;43192132.0;0.0;0.0;Intérieur
BG;Régimes sociaux et de retraite;RB;195.0;Régimes de retraite des mines, de la SEITA, et divers;02;Régime de retraite de la SEITA;;;64.0;6;130696638.0;130696638.0;0.0;0.0;Budget et comptes publics
BG;Sport, jeunesse et vie associative;SF;219.0;Sport;02;Développement du sport de haut niveau;;;22.0;2;25026303.0;25026303.0;0.0;0.0;Sports, jeunesse et vie associative
CCF;Prêts à des États étrangers;ZE;852.0;Prêts à des États étrangers pour consolidation de dettes envers la France;01;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;71.0;7;64884785.0;64884785.0;0.0;0.0;Économie, finances et industrie
BG;Audiovisuel public;AQ;376.0;Institut national de l'audiovisuel;01;Institut national de l'audiovisuel;;;62.0;6;104961144.0;104961144.0;0.0;0.0;Culture
BG;Enseignement scolaire;EC;140.0;Enseignement scolaire public du premier degré;04;Formation des personnels enseignants;;;23.0;2;6931789.0;6931789.0;0.0;0.0;Éducation nationale
BG;Travail, emploi et administration des ministères sociaux;TB;103.0;Accompagnement des mutations économiques et développement de l'emploi;03;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;03;Anticipation des besoins en compétences;62.0;6;11862654.0;10829544.0;0.0;0.0;Travail et emploi
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;06;Enseignement post-baccalauréat en lycée;;;23.0;2;2344271.0;2344271.0;0.0;0.0;Éducation nationale
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;01;Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.;;;21.0;2;353874389.0;353874389.0;0.0;0.0;Budget et comptes publics
BG;Sécurités;SB;207.0;Sécurité et éducation routières;03;Éducation routière;;;61.0;6;4000000.0;4000000.0;0.0;0.0;Intérieur
BG;Écologie, développement et mobilité durables;TA;174.0;Énergie, climat et après-mines;04;Gestion économique et sociale de l'après-mines;;;61.0;6;213258000.0;213258000.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Justice;JA;166.0;Justice judiciaire;05;Enregistrement des décisions judiciaires;;;22.0;2;4816084.0;4816084.0;0.0;0.0;Justice
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;06;Autres autorités indépendantes;03;Commission nationale consultative des droits de l'homme;23.0;2;11182.0;11182.0;0.0;0.0;Services du Premier ministre
BG;Défense;DA;146.0;Équipement des forces;06;Dissuasion;17;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);31.0;3;0.0;2449326.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;;31.0;3;8373520.0;8373520.0;600000.0;600000.0;Éducation nationale
BG;Justice;JA;107.0;Administration pénitentiaire;04;Soutien et formation;;;22.0;2;120547529.0;120547529.0;0.0;0.0;Justice
BG;Écologie, développement et mobilité durables;TA;174.0;Énergie, climat et après-mines;01;Politique de l'énergie;;;31.0;3;140033019.0;133379783.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Anciens combattants, mémoire et liens avec la Nation;MB;169.0;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;08;Liens armées-jeunesse;;;31.0;3;40466893.0;40466893.0;13760000.0;13760000.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";05;EMA / Relations internationales militaires / PPE;23.0;2;389924.0;389924.0;0.0;0.0;Armées et anciens combattants
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;23;Personnels œuvrant pour les politiques de l'énergie et du climat;;;22.0;2;26759358.0;26759358.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Économie;DB;220.0;Statistiques et études économiques;09;Pilotage, soutien et formation initiale;;;22.0;2;40622530.0;40622530.0;0.0;0.0;Économie, finances et industrie
BG;Justice;JA;182.0;Protection judiciaire de la jeunesse;04;Formation;;;21.0;2;20828397.0;20828397.0;0.0;0.0;Justice
BG;Travail, emploi et administration des ministères sociaux;TB;103.0;Accompagnement des mutations économiques et développement de l'emploi;05;Actions pour favoriser la mise en activité professionnelle des demandeurs d'emploi;04;Emplois francs;62.0;6;0.0;91434615.0;0.0;0.0;Travail et emploi
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;02;Action européenne;;;31.0;3;15000.0;15000.0;0.0;0.0;Europe et affaires étrangères
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;27;Commander et conduire - Géographie numérique;31.0;3;69773299.0;47678916.0;0.0;0.0;Armées et anciens combattants
BG;Justice;JA;166.0;Justice judiciaire;01;Traitement et jugement des contentieux civils;;;31.0;3;62142933.0;62142933.0;0.0;0.0;Justice
BG;Justice;JA;166.0;Justice judiciaire;06;Soutien;;;31.0;3;567896593.0;453669753.0;2384899.0;2384899.0;Justice
CAS;Financement des aides aux collectivités pour l'électrification rurale;YK;793.0;Électrification rurale;10;Intempéries;;;63.0;6;3000000.0;3000000.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Économie;DB;134.0;Développement des entreprises et régulations;24;Régulation concurrentielle des marchés, protection économique et sécurité du consommateur;;;22.0;2;89340276.0;89340276.0;0.0;0.0;Économie, finances et industrie
BG;Transformation et fonction publiques;TR;148.0;Fonction publique;01;Formation des fonctionnaires;;;31.0;3;3723907.0;3722550.0;0.0;0.0;Fonction publique, simplification et transformation de l'action publique
BG;Défense;DA;146.0;Équipement des forces;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;51.0;5;88469200.0;79731558.0;0.0;0.0;Armées et anciens combattants
BG;Relations avec les collectivités territoriales;RC;119.0;Concours financiers aux collectivités territoriales et à leurs groupements;06;Dotation générale de décentralisation concours particuliers;;;63.0;6;272468781.0;272468781.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Remboursements et dégrèvements;RD;201.0;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);02;Taxes foncières;01;Taxes foncières;63.0;6;2069000000.0;2069000000.0;0.0;0.0;Budget et comptes publics
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;04;Moyens communs;;;32.0;3;1175069.0;1175069.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Défense;DA;146.0;Équipement des forces;08;Projection - mobilité - soutien;43;Projeter les forces - Autres opérations;51.0;5;29600000.0;79602340.0;0.0;0.0;Armées et anciens combattants
BG;Recherche et enseignement supérieur;RA;231.0;Vie étudiante;01;Aides directes;;;61.0;6;2495569001.0;2495569001.0;0.0;0.0;Enseignement supérieur et recherche
BG;Écologie, développement et mobilité durables;TA;203.0;Infrastructures et services de transports;04;Routes - Entretien;;;63.0;6;5874328.0;5874328.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;05;Fiscalité douanière, énergétique et environnementale;;;23.0;2;598860.0;598860.0;0.0;0.0;Budget et comptes publics
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;;;62.0;6;218696.0;250572.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Audiovisuel public;AQ;374.0;Radio France;01;Radio France;;;62.0;6;660133908.0;660133908.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;64.0;6;1000000.0;5531566.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;65;"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Reconnaissance et réparation en faveur du monde combattant""";;;22.0;2;52512189.0;52512189.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;10;Formation des personnels enseignants et d'orientation;;;21.0;2;434700033.0;434700033.0;0.0;0.0;Éducation nationale
BA;Contrôle et exploitation aériens;XC;614.0;Transports aériens, surveillance et certification;02;Surveillance et certification;;;31.0;3;19188380.0;19292607.0;6900000.0;6900000.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;10;Fonds interministériel de prévention de la délinquance;;;63.0;6;25040000.0;25040000.0;0.0;0.0;Intérieur
BG;Investir pour la France de 2030;AV;421.0;Soutien des progrès de l'enseignement et de la recherche;04;Soutien des grandes universités de recherche;;;64.0;6;0.0;80000000.0;0.0;0.0;Services du Premier ministre
BG;Sport, jeunesse et vie associative;SF;219.0;Sport;04;Promotion des métiers du sport;;;64.0;6;3322836.0;3420721.0;0.0;0.0;Sports, jeunesse et vie associative
BG;Travail, emploi et administration des ministères sociaux;TB;111.0;Amélioration de la qualité de l'emploi et des relations du travail;02;Qualité et effectivité du droit;;;64.0;6;11718142.0;11718142.0;0.0;0.0;Travail et emploi
BG;Défense;DA;178.0;Préparation et emploi des forces;04;Préparation des forces aériennes;05;Ressources humaines des forces aériennes;31.0;3;94286922.0;90081662.0;222922.0;222922.0;Armées et anciens combattants
BG;Régimes sociaux et de retraite;RB;195.0;Régimes de retraite des mines, de la SEITA, et divers;05;Caisse de retraites du personnel de la Comédie Française;;;31.0;3;4933796.0;4933796.0;0.0;0.0;Budget et comptes publics
BG;Travail, emploi et administration des ministères sociaux;TB;155.0;Soutien des ministères sociaux;31;Affaires immobilières;;;31.0;3;28605075.0;50976985.0;0.0;0.0;Travail et emploi
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;35;Communiquer - Autres opérations;51.0;5;52810400.0;70708709.0;0.0;0.0;Armées et anciens combattants
