Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;07;Dispositifs spécifiques de scolarisation;;;22.0;2;53675309.0;53675309.0;0.0;0.0;Éducation nationale
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;04;Apprentissage;;;63.0;6;623513.0;623513.0;0.0;0.0;Éducation nationale
BG;Sport, jeunesse et vie associative;SF;163.0;Jeunesse et vie associative;01;Développement de la vie associative;;;64.0;6;51373824.0;51373824.0;35000000.0;35000000.0;Sports, jeunesse et vie associative
BG;Aide publique au développement;AD;209.0;Solidarité à l'égard des pays en développement;02;Coopération bilatérale;;;61.0;6;7881218.0;7881218.0;0.0;0.0;Europe et affaires étrangères
BG;Médias, livre et industries culturelles;MA;180.0;Presse et médias;02;Aides à la presse;;;62.0;6;194888133.0;193848013.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;09;Engagement et combat;88;Opérer en milieu hostile - missile moyenne portée MMP;51.0;5;0.0;77263959.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;146.0;Équipement des forces;10;Protection et sauvegarde;76;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Missiles;31.0;3;93378000.0;84626132.0;0.0;0.0;Armées et anciens combattants
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;;;64.0;6;4124091.0;4291797.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Écologie, développement et mobilité durables;TA;113.0;Paysages, eau et biodiversité;01;Sites, paysages, publicité;;;63.0;6;4500113.0;4730433.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Régimes sociaux et de retraite;RB;198.0;Régimes sociaux et de retraite des transports terrestres;05;Autres régimes;;;61.0;6;12990431.0;12990431.0;0.0;0.0;Budget et comptes publics
CAS;Gestion du patrimoine immobilier de l'État;YB;723.0;Opérations immobilières et entretien des bâtiments de l'État;11;Opérations structurantes et cessions;;;53.0;5;3000000.0;3000000.0;0.0;0.0;Budget et comptes publics
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;23.0;2;207392.0;207392.0;0.0;0.0;Europe et affaires étrangères
BG;Anciens combattants, mémoire et liens avec la Nation;MB;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;02;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;;;31.0;3;82821.0;82821.0;0.0;0.0;Services du Premier ministre
